Date,Sample_Count,RMS,Mean,Std,Min,Max,Peak_to_Peak,Failed_Count,Passed_Count,Failed_Ratio
2021-11-18 01:39:59.605000+00:00,1024,1.9412486561185947,-0.06226539611816406,1.9411979023999333,-3.3046875,3.228515625,6.533203125,370,654,0.361328125
2021-11-18 01:42:32.078000+00:00,1024,1.889992962955312,0.01517486572265625,1.8908555368472768,-3.333984375,3.345703125,6.6796875,336,688,0.328125
2021-11-18 01:45:28.748000+00:00,1024,1.9148794425725684,0.04265022277832031,1.9153398611659664,-3.322265625,3.3046875,6.626953125,368,656,0.359375
2021-11-18 01:47:56.872000+00:00,1024,1.9022999118085506,-0.000858306884765625,1.9032292563307267,-3.17578125,3.24609375,6.421875,365,659,0.3564453125
2021-11-18 01:50:35.669000+00:00,1024,1.9485753627787774,0.0361785888671875,1.9491914616801225,-3.205078125,3.17578125,6.380859375,382,642,0.373046875
2021-11-18 01:52:32.128000+00:00,1024,1.91261192941684,0.02526092529296875,1.913379600211149,-3.287109375,3.19921875,6.486328125,348,676,0.33984375
2021-11-18 01:54:47.572000+00:00,1024,1.9454571869291835,-0.09337234497070312,1.9441647202121617,-3.2109375,3.158203125,6.369140625,374,650,0.365234375
2021-11-18 01:56:40.996000+00:00,1024,1.913456676909763,0.02562713623046875,1.9142199617027795,-3.19921875,3.234375,6.43359375,355,669,0.3466796875
2021-11-18 01:58:34.523000+00:00,1024,1.907904920830997,-0.06580352783203125,1.9077015256807845,-3.1875,3.380859375,6.568359375,348,676,0.33984375
2021-11-18 02:00:29.286000+00:00,1024,1.8701331593600858,0.026683807373046875,1.870856509343094,-3.263671875,3.17578125,6.439453125,346,678,0.337890625
2021-11-18 02:02:19.620000+00:00,1024,1.9163132561780172,0.05293083190917969,1.9165181391518404,-3.24609375,3.146484375,6.392578125,362,662,0.353515625
2021-11-18 02:04:08.566000+00:00,1024,1.9372241925618185,-0.008024215698242188,1.938154169356448,-3.2109375,3.22265625,6.43359375,362,662,0.353515625
2021-11-18 02:06:02.021000+00:00,1024,1.9298897938350634,0.022968292236328125,1.930696065119808,-3.28125,3.17578125,6.45703125,366,658,0.357421875
2021-11-18 02:08:00.326000+00:00,1024,1.9644389038800023,0.06006813049316406,1.964479767771939,-3.263671875,3.251953125,6.515625,386,638,0.376953125
2021-11-18 02:09:47.297000+00:00,1024,1.9550831248765363,-0.002109527587890625,1.956037316427559,-3.181640625,3.216796875,6.3984375,371,653,0.3623046875
2021-11-18 02:11:38.007000+00:00,1024,1.8818653591372114,-0.08586311340332031,1.8808241132230579,-3.2578125,3.17578125,6.43359375,336,688,0.328125
2021-11-18 02:13:28.376000+00:00,1024,1.9119968157126608,0.0076351165771484375,1.912915840203136,-3.205078125,3.52734375,6.732421875,351,673,0.3427734375
