,Date,Sensor,Quality
0,2021-11-18T01:39:59.605000+00:00,0.064453125,PASSED
1,2021-11-18T01:39:59.605000+00:00,0.240234375,PASSED
2,2021-11-18T01:39:59.605000+00:00,-0.12890625,PASSED
3,2021-11-18T01:39:59.605000+00:00,-0.92578125,PASSED
4,2021-11-18T01:39:59.605000+00:00,-1.037109375,PASSED
5,2021-11-18T01:39:59.605000+00:00,-1.13671875,PASSED
6,2021-11-18T01:39:59.605000+00:00,-1.41796875,PASSED
7,2021-11-18T01:39:59.605000+00:00,-2.70703125,FAILED
8,2021-11-18T01:39:59.605000+00:00,-2.888671875,FAILED
9,2021-11-18T01:39:59.605000+00:00,-3.052734375,FAILED
10,2021-11-18T01:39:59.605000+00:00,-2.900390625,FAILED
11,2021-11-18T01:39:59.605000+00:00,-3.03515625,FAILED
12,2021-11-18T01:39:59.605000+00:00,-2.912109375,FAILED
13,2021-11-18T01:39:59.605000+00:00,-3.0234375,FAILED
14,2021-11-18T01:39:59.605000+00:00,-2.923828125,FAILED
15,2021-11-18T01:39:59.605000+00:00,-3.017578125,FAILED
16,2021-11-18T01:39:59.605000+00:00,-2.935546875,FAILED
17,2021-11-18T01:39:59.605000+00:00,-3.01171875,FAILED
18,2021-11-18T01:39:59.605000+00:00,-2.94140625,FAILED
19,2021-11-18T01:39:59.605000+00:00,-3.005859375,FAILED
20,2021-11-18T01:39:59.605000+00:00,-1.96484375,PASSED
21,2021-11-18T01:39:59.605000+00:00,-2.0,PASSED
22,2021-11-18T01:39:59.605000+00:00,-1.96875,PASSED
23,2021-11-18T01:39:59.605000+00:00,-1.53125,PASSED
24,2021-11-18T01:39:59.605000+00:00,-0.58203125,PASSED
25,2021-11-18T01:39:59.605000+00:00,0.91015625,PASSED
26,2021-11-18T01:39:59.605000+00:00,0.3125,PASSED
27,2021-11-18T01:39:59.605000+00:00,-0.58984375,PASSED
28,2021-11-18T01:39:59.605000+00:00,-1.41015625,PASSED
29,2021-11-18T01:39:59.605000+00:00,-1.26171875,PASSED
